
Using Euler methods:

     i    xi          Forward                 Backward                Trapezoidal             

     0    0.000000    1.0                     1.0                     1.0                     
     1    0.210000    -1.1                    0.32258065              -0.02439024             
     2    0.420000    1.21                    0.10405827              0.00059488              
     3    0.630000    -1.331                  0.03356718              -1.451e-05              
     4    0.840000    1.4640999999999997      0.01082812              3.5e-07                 
     5    1.050000    -1.6105099999999997     0.00349294              -1e-08                  
     6    1.260000    1.7715609999999997      0.00112675              0.0                     
     7    1.470000    -1.9487170999999996     0.00036347              0.0                     
     8    1.680000    2.14358881              0.00011725              0.0                     
     9    1.890000    -2.3579476909999997     3.782e-05               0.0                     
    10    2.100000    2.5937424600999996      1.22e-05                0.0                     
    11    2.310000    -2.85311670611          3.94e-06                0.0                     
    12    2.520000    3.1384283767209995      1.27e-06                0.0                     
    13    2.730000    -3.4522712143930985     4.1e-07                 0.0                     
    14    2.940000    3.797498335832409       1.3e-07                 0.0                     
